hunt_code,residency,points,public_permits_2025,public_permits_2026,public_permits_2026_source,max_point_permits_2025,max_point_permits_2026,random_permits_2025,random_permits_2026,guaranteed_at_2025,guaranteed_at_2026,permit_delta_2025_to_2026,projected_applicants_2026_source,guaranteed_delta_2025_to_2026,applicants_above,applicants_at_level,random_draw_odds_2026,gap,delta_gap,status,trend,draw_outlook
BI6500,Resident,32,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,0,0,0.000,-1,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Resident,31,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,0,1,0.150,0,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Resident,30,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,1,3,0.102,1,-1,ON EDGE,GREEN,MAY DRAW IN 5-10 YEARS
BI6500,Resident,29,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,4,12,0.110,2,-1,BEHIND,GREEN,MAY DRAW IN 5-10 YEARS
BI6500,Resident,28,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,16,15,0.110,3,-1,BEHIND,GREEN,MAY DRAW IN 5-10 YEARS
BI6500,Resident,27,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,31,24,0.122,4,-1,BEHIND,GREEN,MAY DRAW IN 5-10 YEARS
BI6500,Resident,26,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,55,24,0.108,5,-1,BEHIND,GREEN,MAY DRAW IN 5-10 YEARS
BI6500,Resident,25,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,79,33,0.100,6,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,24,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,112,41,0.078,7,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,23,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,153,38,0.090,8,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,22,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,191,36,0.082,9,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,21,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,227,39,0.074,10,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,20,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,266,30,0.064,11,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,19,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,296,48,0.066,12,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,18,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,344,39,0.064,13,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,17,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,383,36,0.060,14,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,16,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,419,54,0.052,15,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,15,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,473,54,0.064,16,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,14,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,527,63,0.034,17,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,13,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,590,88,0.032,18,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,12,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,678,67,0.050,19,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,11,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,745,93,0.046,20,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,10,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,838,109,0.040,21,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,9,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,947,155,0.050,22,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,8,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,1102,157,0.046,23,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,7,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,1259,181,0.018,24,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,6,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,1440,182,0.016,25,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,5,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,1622,255,0.034,26,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,4,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,1877,254,0.010,27,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,3,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,2131,286,0.010,28,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,2,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,2417,341,0.014,29,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,1,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,2758,0,0.002,30,-1,BEHIND,GREEN,LONG ODDS
BI6500,Resident,0,2,2,posted_2026,1,1,1,1,31,31,0,projected_2026,0,2758,489,0.004,31,-1,BEHIND,GREEN,LONG ODDS
BI6500,Nonresident,32,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-32,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,31,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-31,-1,MAX POOL,GREEN,GREEN LIGHT
